id,name,min,max,avg,stddev
1,1,13036.489487,78051.567078,42583.8,15189.6
2,2,21117.210388,55369.615555,44179.7,6426.47
3,4,12120.246887,55720.806122,38410.7,11206.8
4,8,20658.254624,69826.364517,43207.6,9975.36
5,16,16595.602036,237692.594528,44810.2,21278.6
6,32,21767.377853,238482.475281,47583.1,22458.8
7,64,12322.902679,54512.977600,33754.5,9679.36
8,128,27019.262314,55273.056030,42907.3,6864.45
9,256,8160.829544,242056.846618,39009.5,23395.4
10,512,16233.444213,246638.059616,43569.2,22619.2
11,1024,9278.297424,62973.976135,39356.5,13211.6
12,2048,22051.095963,56043.148041,42225.3,7282.58
13,4096,24259.090424,74154.853820,47195.3,7978.29
14,8192,10870.933533,56633.710861,32838.4,13220.9
15,16384,39847.850799,153028.011322,78835.2,25486.8
