id,name,min,max,avg,stddev
1,1,160673.141480,308680.534363,193476,23285.3
2,2,160113.811493,263176.918030,196494,23696
3,4,161544.322968,280781.984329,197059,24917.9
4,8,163848.638534,296196.222306,194551,23650.3
5,16,160201.787948,308579.921722,195269,25513.8
6,32,161929.845810,282602.548599,193219,22975.7
7,64,164813.518524,271425.008774,197101,22778.2
8,128,160985.231400,254346.847534,191042,19188.2
9,256,152205.467224,271096.944809,194453,24084
10,512,163385.391235,277252.435684,196729,21216.9
11,1024,161380.290985,255191.087723,192934,22126.6
12,2048,162129.402160,301365.375518,196825,26087.2
13,4096,163797.616958,276425.838471,198420,23134.5
14,8192,173240.423202,251878.023148,198679,18064.5
15,16384,174453.258515,537384.986878,226076,70274.9
