20181109152900.162,10.0.4.12,5001,10.0.2.6,32906,3,0.0-1.0,607110,4856880,0.181,0,413,0.000,0,38.271,1.592,74.962,21.229
20181109152901.168,10.0.4.12,5001,10.0.2.6,32906,3,1.0-2.0,602700,4821600,0.177,0,410,0.000,0,79.612,1.592,157.506,46.601
20181109152902.164,10.0.4.12,5001,10.0.2.6,32906,3,2.0-3.0,607110,4856880,0.389,29,442,6.561,0,108.383,1.592,167.573,55.653
20181109152903.159,10.0.4.12,5001,10.0.2.6,32906,3,3.0-4.0,607110,4856880,0.328,32,445,7.191,0,122.870,1.592,167.573,54.311
20181109152904.165,10.0.4.12,5001,10.0.2.6,32906,3,4.0-5.0,608580,4868640,0.394,33,447,7.383,0,131.573,1.592,167.573,51.569
20181109152905.160,10.0.4.12,5001,10.0.2.6,32906,3,5.0-6.0,607110,4856880,0.336,32,445,7.191,0,137.351,1.592,167.573,48.811
20181109152906.166,10.0.4.12,5001,10.0.2.6,32906,3,6.0-7.0,607110,4856880,0.290,32,445,7.191,0,141.482,1.592,167.573,46.306
20181109152907.162,10.0.4.12,5001,10.0.2.6,32906,3,7.0-8.0,608580,4868640,0.343,33,447,7.383,0,144.589,1.592,167.573,44.077
20181109152908.158,10.0.4.12,5001,10.0.2.6,32906,3,8.0-9.0,607110,4856880,0.289,32,445,7.191,0,147.000,1.592,167.583,42.111
20181109152909.163,10.0.4.12,5001,10.0.2.6,32906,3,9.0-10.0,607110,4856880,0.348,33,446,7.399,0,148.933,1.592,167.583,40.368
20181109152910.159,10.0.4.12,5001,10.0.2.6,32906,3,10.0-11.0,608580,4868640,0.290,32,446,7.175,0,150.530,1.592,167.628,38.814
20181109152911.165,10.0.4.12,5001,10.0.2.6,32906,3,11.0-12.0,607110,4856880,0.361,33,446,7.399,0,151.859,1.592,167.651,37.423
20181109152912.161,10.0.4.12,5001,10.0.2.6,32906,3,12.0-13.0,607110,4856880,0.303,32,445,7.191,0,152.982,1.592,167.651,36.165
20181109152913.167,10.0.4.12,5001,10.0.2.6,32906,3,13.0-14.0,608580,4868640,0.368,33,447,7.383,0,153.947,1.592,167.651,35.019
20181109152914.163,10.0.4.12,5001,10.0.2.6,32906,3,14.0-15.0,607110,4856880,0.309,32,445,7.191,0,154.780,1.592,167.651,33.975
20181109152915.159,10.0.4.12,5001,10.0.2.6,32906,3,15.0-16.0,608580,4868640,0.375,33,447,7.383,0,155.511,1.592,167.651,33.016
20181109152916.165,10.0.4.12,5001,10.0.2.6,32906,3,16.0-17.0,607110,4856880,0.318,32,445,7.191,0,156.155,1.592,167.651,32.134
20181109152917.161,10.0.4.12,5001,10.0.2.6,32906,3,17.0-18.0,607110,4856880,0.278,32,445,7.191,0,156.728,1.592,167.651,31.318
20181109152918.167,10.0.4.12,5001,10.0.2.6,32906,3,18.0-19.0,608580,4868640,0.326,33,447,7.383,0,157.241,1.592,167.651,30.559
20181109152919.163,10.0.4.12,5001,10.0.2.6,32906,3,19.0-20.0,607110,4856880,0.284,32,445,7.191,0,157.702,1.592,167.651,29.854
20181109152920.158,10.0.4.12,5001,10.0.2.6,32906,3,20.0-21.0,607110,4856880,0.341,33,446,7.399,0,158.119,1.592,167.651,29.194
20181109152921.164,10.0.4.12,5001,10.0.2.6,32906,3,21.0-22.0,608580,4868640,0.287,32,446,7.175,0,158.500,1.592,167.651,28.575
20181109152922.160,10.0.4.12,5001,10.0.2.6,32906,3,22.0-23.0,607110,4856880,0.352,33,446,7.399,0,158.845,1.592,167.657,27.995
20181109152923.166,10.0.4.12,5001,10.0.2.6,32906,3,23.0-24.0,607110,4856880,0.297,32,445,7.191,0,159.164,1.592,167.657,27.448
20181109152924.162,10.0.4.12,5001,10.0.2.6,32906,3,24.0-25.0,608580,4868640,0.364,33,447,7.383,0,159.460,1.592,167.662,26.932
