id,name,min,max,avg,stddev
1,1,341.653824,1237.392425,461.614,120.848
2,2,345.945358,5701.065063,545.89,544.252
3,4,334.978103,12655.735016,1126.06,2096.8
4,8,355.005265,8568.525314,553.012,837.251
5,16,363.588333,8500.337601,590.77,899.623
6,32,349.998474,8652.210235,616.283,1015.17
7,64,340.223312,6563.901901,623.734,798.033
8,128,361.919403,6505.727768,615.389,695.628
9,256,392.436982,6433.486939,679.448,823.584
10,512,396.013260,8679.389954,735.357,1046.58
11,1024,489.473343,1162.528992,590.363,90.1148
12,2048,743.389129,1373.291015,885.584,104.21
13,4096,1202.106476,5045.413971,1412.1,566.706
14,8192,2127.885819,5135.059356,2331.37,387.621
15,16384,3970.861435,11923.789978,4469.16,1175.7
