id,name,min,max,avg,stddev
1,1,50256.490707,316128.730774,211842,69772.3
2,2,161377.906800,581713.199616,271793,60099.3
3,4,184437.274933,616874.456406,285407,53006
4,8,256041.049957,356585.264206,316808,28229.1
5,16,187217.235566,473494.291306,284686,45707
6,32,109987.258911,339067.459106,246380,60608.9
7,64,202850.103378,343136.787415,283369,32223.4
8,128,214795.827865,342086.315155,288802,32247
9,256,175735.235214,348747.730255,277264,40996.2
10,512,245107.889176,599276.065827,310805,49419.7
11,1024,210929.393768,669186.592102,301800,54418.6
12,2048,222594.738007,683377.742768,308583,56942.5
13,4096,207621.097565,630826.234817,289396,48769.4
14,8192,204193.592071,390877.723694,299021,32531.9
15,16384,202771.425247,520035.982132,284754,46779.4
