id,name,min,max,avg,stddev
1,1,722283.840180,9791264.295578,4.01836e+06,1.65878e+06
2,2,2136709.213257,9564999.103546,3.87314e+06,1.16781e+06
3,4,1898203.134537,8590096.473694,3.308e+06,1.35103e+06
4,8,1892389.297485,7812356.710434,3.05506e+06,924747
5,16,1893600.463867,18190619.945526,3.79644e+06,2.15616e+06
6,32,1893354.415894,7496465.682983,3.51639e+06,1.43045e+06
7,64,2069022.417068,11464313.507080,3.77011e+06,1.54373e+06
8,128,1895864.486695,8818527.698517,3.65103e+06,1.35902e+06
9,256,1905848.264695,8113751.173020,3.74586e+06,1.30193e+06
10,512,1903674.125672,9849896.430970,3.55972e+06,1.46946e+06
11,1024,1901488.065719,8489161.968231,3.90573e+06,1.12309e+06
12,2048,1898916.006088,10325182.199478,3.95182e+06,1.40734e+06
13,4096,1898363.113403,6978633.165359,3.07616e+06,980298
14,8192,2205455.541611,9995368.480683,4.23541e+06,1.4073e+06
15,16384,1954703.807831,7722324.609757,3.93853e+06,1.189e+06
