id,name,min,max,avg,stddev
1,1,756628.274917,1466243.505477,1.3036e+06,146204
2,2,1306065.082550,1484483.003616,1.41575e+06,41051.3
3,4,1129009.246827,1500001.907349,1.37655e+06,81344.1
4,8,1133145.332336,1497517.824173,1.39531e+06,62447.5
5,16,1215674.400330,1475692.510605,1.36741e+06,55288.4
6,32,1211992.502212,1481763.124466,1.36978e+06,43424.2
7,64,1189377.069474,1475908.517837,1.36252e+06,53849.8
8,128,1100569.725036,1478295.564652,1.33242e+06,86800.6
9,256,1146553.516388,1489203.929901,1.3643e+06,48207.5
10,512,1224614.381790,1499900.579452,1.36994e+06,41749.6
11,1024,1230825.662613,1430224.418640,1.36124e+06,43892.4
12,2048,1079147.100448,1500682.830811,1.35371e+06,69956.8
13,4096,1075371.026993,1488512.516022,1.35898e+06,65171.5
14,8192,1241653.442383,1523246.049880,1.41289e+06,49806.6
15,16384,1270458.221435,1578566.789627,1.45598e+06,62088.3
