id,name,min,max,avg,stddev
1,1,1401.185989,4156.827927,2334.07,503.279
2,2,1262.426377,4378.318786,2098.68,464.27
3,4,1679.658890,4392.862320,2289.84,547.996
4,8,1816.272735,8869.886398,2493.04,858.258
5,16,1639.366150,4153.728485,2354.49,416.917
6,32,1741.409302,4588.603973,2413.62,522.25
7,64,1712.322235,4156.827926,2282.81,436.959
8,128,1637.935639,6883.382797,2388.31,572.85
9,256,1759.767532,5132.436753,2380.8,547.608
10,512,1448.631287,4427.194596,2323.95,628.944
11,1024,1522.541046,5223.512649,2468.89,656.313
12,2048,2454.757691,7094.621658,3509.49,918.53
13,4096,3193.855286,8025.884629,4395.15,826.126
14,8192,5675.077438,9793.043137,6962.22,803.5
15,16384,10398.864746,13706.922531,11480.1,747.889
