id,name,min,max,avg,stddev
1,1,371742.486954,814051.389695,476697,80455.4
2,2,362894.296646,753635.406494,474138,82896.2
3,4,337970.018387,635196.924209,428228,68413.5
4,8,338022.232056,682308.673859,454994,80405.9
5,16,323613.405228,659251.928330,413090,62297.8
6,32,346473.217011,730087.518692,402627,61186.7
7,64,330776.691437,583218.097687,402168,49939.2
8,128,333741.903305,536806.106568,391162,36155.7
9,256,355649.948121,503776.311875,396489,35696.9
10,512,358300.685883,621749.162674,411116,55134.6
11,1024,344591.140747,571965.694428,402192,52060.4
12,2048,348083.257675,618602.275849,404270,48210.2
13,4096,365337.133407,695178.031921,416476,53109.8
14,8192,406053.066254,941943.645477,478680,77146.1
15,16384,409401.416778,904850.006104,528266,95629.2
