id,name,min,max,avg,stddev
1,1,411.510468,12495.040893,942.659,1816.73
2,2,397.682190,8439.779282,662.565,945.944
3,4,413.179398,1555.442810,527.804,170.962
4,8,417.470932,4754.066468,670.807,741.205
5,16,403.881073,7252.454758,687.773,951.135
6,32,405.550003,4344.463348,582.976,429.396
7,64,394.105911,4367.828369,512.521,399.232
8,128,403.881073,3898.382187,622.244,581.895
9,256,399.589539,6704.568862,817.289,1080.4
10,512,407.934189,8211.374283,617.058,779.94
11,1024,489.473343,8292.198181,985.684,1228.66
12,2048,726.938248,1968.383789,904.124,189.042
13,4096,1182.317734,3847.360611,1446.35,489.501
14,8192,2172.231674,3757.715225,2362.49,268.866
15,16384,3963.232040,48564.195633,4970.37,4466.02
