id,name,min,max,avg,stddev
1,1,184292.554855,1223250.627518,243746,117854
2,2,184414.148331,366780.042648,220121,28600.2
3,4,184449.911117,1352931.499481,246084,135203
4,8,190082.788467,500825.881958,229199,57853.5
5,16,35130.977631,517670.154571,223237,70229.6
6,32,19056.797028,525701.284409,220757,76960.9
7,64,184663.772583,489623.308182,221836,43166.9
8,128,184433.698654,502603.054046,230277,60701.2
9,256,184384.346008,451621.532440,225599,39205.5
10,512,189892.530441,601172.447205,229061,56503.9
11,1024,189798.116684,563533.067703,227567,53615.8
12,2048,190218.925476,502364.397049,231787,55930.9
13,4096,184903.621674,444304.943085,210137,30415
14,8192,191438.674927,905282.020569,254390,118063
15,16384,193836.688995,1033136.606217,291615,115045
