id,name,min,max,avg,stddev
1,1,1446.962356,4823.207855,1957.06,438.108
2,2,1428.842544,4237.174987,1992.76,482.184
3,4,1324.653626,3644.704819,2047.2,438.925
4,8,1369.237899,4142.761231,2163.59,477.954
5,16,1299.858094,4669.904709,2085.34,611.885
6,32,1546.382904,6398.200988,2224.15,903.078
7,64,1633.405685,4325.628280,2219.91,366.506
8,128,1606.941223,2745.628357,2105.25,217.036
9,256,1694.679261,2869.844437,2141.82,233.421
10,512,1733.064652,3109.931946,2267.51,299.446
11,1024,1770.257950,9148.836136,2423.91,729.597
12,2048,2451.181412,4120.349884,3147.9,244.323
13,4096,3595.590591,6913.900375,4319.58,659.272
14,8192,6186.485290,10274.410247,7159.91,964.304
15,16384,10696.649551,14771.223068,11644.7,831.024
